high(0);last(1);created_at(2);book(3);volumne(4);vwa(5);low(6);ask(7);bid(8);ask_avg_price(9);ask_avg_amount(10);bid_avg_price(11);bid_avg_amount(12);avg_trade_sell_amount(13);avg_trade_buy_amount(14);sentiment_Twitter(15);interest_trends(16);time_stamp(17)
3129.89;3062.32;2019-04-04T12:24:02+00:00;eth_mxn;2544.97136210;3119.28331792;3050.26;3077.50;3062.07;3291.6578;15.940226117;3434.0;0.00489297;0.716416333148;0.384970359783;0.0;49.4310344828;1554380794.465701
3107.00;3104.00;2019-04-05T12:20:54+00:00;eth_mxn;1098.57463551;2989.38378679;3050.01;3103.99;3073.88;3242.8424;15.9266509046;3390.0;1.0;0.87851817;1.49434158375;4.0;44.1440677966;1554467011.2844963
3107.00;3104.00;2019-04-05T12:24:01+00:00;eth_mxn;1098.57463551;2989.38378679;3050.01;3103.98;3073.82;3237.122;15.9128533034;3388.88;0.00995;0.87851817;1.49434158375;2.0;44.5172413793;1554467224.3964872
3107.00;3077.95;2019-04-05T12:39:53+00:00;eth_mxn;1096.94121378;2989.25341954;3050.01;3103.98;3077.20;3248.443;15.3475381286;3395.0;1.08597208;0.895769666491;1.39885486163;1.0;43.1949152542;1554468148.393285
3150.00;3103.84;2019-04-05T17:34:14+00:00;eth_mxn;993.60941231;2996.49756529;3050.01;3116.00;3086.58;3257.543;14.1910438292;3390.0;1.0;0.823317032373;0.706270497073;-2.0;32.0689655172;1554485814.9811814
3150.00;3100.03;2019-04-05T18:32:37+00:00;eth_mxn;972.40450663;3007.11773309;3050.01;3133.15;3100.04;3255.9908;14.7930982626;3388.88;0.00995;0.588063053521;0.79633385931;4.0;46.5593220339;1554489322.212597
3140.49;3116.60;2019-04-06T08:30:36+00:00;eth_mxn;639.28320372;3095.33007071;3083.01;3118.77;3083.06;3253.4572;12.97001879;3390.66;0.0313994;1.01464777118;1.48232622959;0.0;42.3389830508;1554539613.324817
3140.49;3056.39;2019-04-06T11:21:54+00:00;eth_mxn;648.54155780;3094.68234844;3050.00;3120.87;3064.24;3271.1054;12.3553486886;3399.22;0.07766991;1.04682098711;1.47732563091;3.0;39.1016949153;1554549886.8330724
3140.49;3138.51;2019-04-06T12:20:50+00:00;eth_mxn;655.58395132;3094.12787002;3050.00;3137.18;3056.30;3260.6394;5.8957138826;3395.0;0.01;1.45063984591;1.46017033518;4.0;49.1610169492;1554553383.6490645
3214.00;3165.56;2019-04-07T12:20:52+00:00;eth_mxn;531.18829492;3160.52808247;3155.50;3205.43;3200.00;3294.9214;15.2659123268;3399.22;0.07766991;0.204066964762;0.530485588919;4.0;41.2203389831;1554639831.725749
3499.98;3428.37;2019-04-08T01:34:13+00:00;eth_mxn;739.77738385;3311.25526395;3150.01;3460.00;3437.71;3625.958;12.8255143756;3844.92;0.00260084;0.635843060952;2.58153518517;0.0;29.8793103448;1554687437.2657068
3499.97;3389.69;2019-04-08T12:20:58+00:00;eth_mxn;1396.99919900;3370.22337767;3300.01;3383.62;3312.72;3599.3382;14.7397175488;3799.0;1.0;0.653595351935;5.26172351899;1.0;50.313559322;1554726167.302993
3499.97;3382.07;2019-04-08T12:23:17+00:00;eth_mxn;1397.73839127;3370.22213060;3300.01;3381.97;3320.17;3607.101;14.1420789686;3800.0;18.32540663;0.656270255625;5.31730057706;-1.0;50.025862069;1554726351.62173
3394.98;3393.48;2019-04-09T12:20:51+00:00;eth_mxn;786.80320128;3371.11580105;3320.00;3393.65;3356.91;3505.0408;15.511266626;3637.0;0.00548499;1.81110193767;0.758498969143;5.0;50.0;1554812644.5770288
3394.98;3325.33;2019-04-09T18:34:49+00:00;eth_mxn;386.98239677;3355.24036152;3320.00;3356.43;3325.54;3459.0516;15.0536916878;3563.0;0.0109016;0.648759760208;0.422488790577;0.0;47.5338983051;1554835039.8807623
3444.98;3431.08;2019-04-10T04:26:36+00:00;eth_mxn;485.02598219;3334.45953499;3303.44;3427.09;3369.04;3503.5414;14.4022584414;3615.0;0.04150208;1.04867866567;0.432133815455;-1.0;46.6610169492;1554870580.5504246
3450.00;3372.09;2019-04-10T12:20:56+00:00;eth_mxn;519.18085736;3356.15785365;3370.07;3425.07;3374.21;3519.742;14.1444635174;3640.0;0.05;1.516894916;0.865883364857;2.0;53.8813559322;1554898967.5239534
3452.00;3451.89;2019-04-10T19:32:36+00:00;eth_mxn;680.49095332;3379.38154835;3370.07;3450.47;3425.00;3521.6428;12.5131371694;3636.0;0.00283862;1.59685365561;1.65829472512;0.0;52.593220339;1554924886.8325431
3452.00;3292.74;2019-04-11T01:34:14+00:00;eth_mxn;961.84203750;3349.73041651;3200.61;3333.23;3289.79;3416.5226;14.4603814952;3481.0;0.00887574;1.41218277;1.63857329103;0.0;42.8448275862;1554946616.931971
3274.77;3055.30;2019-04-11T12:20:54+00:00;eth_mxn;1203.74999401;3269.05612814;3050.00;3094.09;3055.00;3323.9064;15.4200256212;3432.0;0.05;0.996892258378;1.13125951016;2.0;45.3305084746;1554985408.4737954
